timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1468634400,Jul 16 2016 - 2:00am,complete,N/A,Tijuana,Morelia,N/A,1,0.00,0.00,2.20,1.22,2,0,2,1,1,0,"45'2,56","",5,5,2,0,3,0,1,1,1,2,12,8,5,5,7,3,15,6,46,54,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.14,3.58,3.58,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Caliente
1468706400,Jul 16 2016 - 10:00pm,complete,N/A,Querétaro,Veracruz,N/A,1,0.00,0.00,1.35,0.29,2,0,2,0,0,0,"70,81","",4,2,1,0,1,0,1,0,1,0,10,12,4,4,6,8,18,14,45,55,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.07,3.54,3.86,0.00,0.00,0.00,0.00,0.00,0.00,Estadio La Corregidora
1468713600,Jul 17 2016 - 12:00am,complete,N/A,Monterrey,Puebla,N/A,1,0.00,0.00,1.89,1.06,1,1,2,1,1,0,"9","72",8,3,2,1,1,0,1,2,1,0,7,4,5,2,2,2,11,13,48,52,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.55,4.50,6.30,0.00,0.00,0.00,0.00,0.00,0.00,Estadio BBVA Bancomer
1468713600,Jul 17 2016 - 12:00am,complete,N/A,Atlas,Toluca,N/A,1,0.00,0.00,1.89,1.58,1,1,2,0,0,0,"54","85",6,6,0,1,2,0,1,0,1,1,11,6,5,3,6,3,15,15,45,55,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.62,3.30,2.93,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Jalisco
1468713960,Jul 17 2016 - 12:06am,complete,N/A,Pachuca,León,N/A,1,0.00,0.00,2.00,1.21,5,1,6,3,2,1,"22,40,75,80,87","25",-1,-1,1,0,5,1,0,1,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.07,3.70,3.68,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Hidalgo
1468720800,Jul 17 2016 - 2:00am,complete,N/A,Necaxa,Cruz Azul,N/A,1,0.00,0.00,1.63,1.00,0,0,0,0,0,0,"","",3,7,2,0,1,0,0,2,0,1,8,15,7,7,1,8,11,12,46,54,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.45,3.43,2.25,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Victoria de Aguascalientes
1468720800,Jul 17 2016 - 2:00am,complete,N/A,América,Chiapas,N/A,1,0.00,0.00,1.85,0.53,2,0,2,0,0,0,"50,90","",4,9,0,0,1,0,0,0,1,0,13,15,6,9,7,6,9,5,48,52,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.45,4.94,7.40,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Azteca
1468774800,Jul 17 2016 - 5:00pm,complete,N/A,Pumas UNAM,Guadalajara,N/A,1,0.00,0.00,1.72,1.24,1,0,1,0,0,0,"56","",1,10,3,0,2,0,0,3,0,2,8,14,5,5,3,9,14,11,39,61,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Olímpico de Universitario
1468796400,Jul 17 2016 - 11:00pm,complete,N/A,Santos Laguna,Tigres UANL,N/A,1,0.00,0.00,1.67,1.70,0,0,0,0,0,0,"","",8,8,1,0,0,0,0,1,0,0,8,8,2,6,6,2,12,15,47,53,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.93,3.37,2.58,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Nuevo Corona
1469239200,Jul 23 2016 - 2:00am,complete,N/A,Veracruz,Santos Laguna,N/A,2,0.00,0.00,1.65,0.83,2,0,2,1,1,0,"18,89","",6,9,4,0,6,0,3,1,2,4,8,13,5,6,3,7,18,12,47,53,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.74,3.38,2.74,0.00,0.00,0.00,0.00,0.00,0.00,Estadio Luis de la Fuente
